,❤,🇧,🇩,👏,💀,💪,🔝,🔥,😂,😭
00:21,712,0,0,0,9,0,0,4,6,6
00:33,0,0,0,0,54,1,0,0,3,27
00:45,0,0,0,0,0,0,0,0,0,0
00:58,0,0,0,0,0,0,0,0,0,0
01:10,10,0,0,0,0,2,0,14,20,1
01:22,23,95,95,0,0,0,0,3,123,19
01:34,1,0,0,0,0,0,0,13,36,16
01:46,0,0,0,0,0,0,0,1,3,7
01:58,0,0,0,1,1,6,0,33,5,27
02:11,3,0,0,0,1,0,0,18,26,10
02:23,412,0,0,5,51,100,1,20,73,4
02:35,54,0,0,189,0,6,88,11,59,2
