,⚪,⚽,❤,🏆,🏻,🐱,💙,💪,😂,😭
00:23,11,0,100,264,5,17,100,13,38,7
00:40,6,5,7,0,0,0,11,3,18,6
00:58,0,0,15,0,0,0,16,0,0,0
01:16,9,3,55,18,10,14,48,7,16,12
01:34,32,15,130,1,2,27,121,3,11,2
01:51,37,11,166,3,16,13,149,1,4,20
02:09,33,49,85,0,6,0,75,11,35,3
02:27,32,2,9,0,2,0,11,4,35,20
02:45,6,0,2,0,0,0,0,0,9,0
03:03,11,2,0,0,26,0,3,26,45,0
03:20,6,0,0,6,10,0,0,10,82,0
03:38,0,0,0,0,16,0,0,0,48,0
